tier,radius_arcsec,k_gate,median_shift_over_true,max_event_shift_over_true,ok,ratios_by_event
A,1.0,20000,0.0,0.0012779240122090996,True,"{""GW200219_094415"": 0.0012779240122090996, ""GW200220_061928"": 0.0, ""GW200308_173609"": 0.0}"
A,2.0,20000,0.0015673283836317759,0.002327128389841095,True,"{""GW200219_094415"": 0.002327128389841095, ""GW200220_061928"": 0.0015673283836317759, ""GW200308_173609"": 0.0010303260949489732}"
A,3.0,20000,0.002819057875062873,0.0036514079455963683,True,"{""GW200219_094415"": 0.002819057875062873, ""GW200220_061928"": 0.0036514079455963683, ""GW200308_173609"": 0.0017959795864667374}"
A,5.0,20000,0.008405575321555595,0.012711404211984844,True,"{""GW200219_094415"": 0.006090497796483311, ""GW200220_061928"": 0.012711404211984844, ""GW200308_173609"": 0.008405575321555595}"
A,10.0,20000,0.050608019186693255,0.0534203033029773,True,"{""GW200219_094415"": 0.01849568999939202, ""GW200220_061928"": 0.050608019186693255, ""GW200308_173609"": 0.0534203033029773}"
A,15.0,20000,0.10472028855298861,0.12451089642865307,False,"{""GW200219_094415"": 0.044878256346195904, ""GW200220_061928"": 0.10472028855298861, ""GW200308_173609"": 0.12451089642865307}"
A,20.0,20000,0.17829768569149762,0.20419267718077466,False,"{""GW200219_094415"": 0.07636858422415672, ""GW200220_061928"": 0.17829768569149762, ""GW200308_173609"": 0.20419267718077466}"
A,30.0,20000,0.3264045226527839,0.3719435848318151,False,"{""GW200219_094415"": 0.16100156066746105, ""GW200220_061928"": 0.3264045226527839, ""GW200308_173609"": 0.3719435848318151}"
A,45.0,20000,0.5487451333348341,0.5954526340756303,False,"{""GW200219_094415"": 0.27636611968559455, ""GW200220_061928"": 0.5487451333348341, ""GW200308_173609"": 0.5954526340756303}"
A,60.0,20000,0.7321918598107895,0.760419812803021,False,"{""GW200219_094415"": 0.4078717369425389, ""GW200220_061928"": 0.7321918598107895, ""GW200308_173609"": 0.760419812803021}"
B,1.0,20000,0.0,0.0012136989269920966,True,"{""GW200219_094415"": 0.0012136989269920966, ""GW200220_061928"": 0.0, ""GW200308_173609"": 0.0}"
B,2.0,20000,0.001565121618162719,0.0022199718944004355,True,"{""GW200219_094415"": 0.0022199718944004355, ""GW200220_061928"": 0.001565121618162719, ""GW200308_173609"": 0.0010297476398201764}"
B,3.0,20000,0.002677215338430409,0.0036463350438478825,True,"{""GW200219_094415"": 0.002677215338430409, ""GW200220_061928"": 0.0036463350438478825, ""GW200308_173609"": 0.001794978563022993}"
B,5.0,20000,0.008400978955211412,0.012694105837538308,True,"{""GW200219_094415"": 0.005746191276271368, ""GW200220_061928"": 0.012694105837538308, ""GW200308_173609"": 0.008400978955211412}"
B,10.0,20000,0.05054407505337466,0.05356408287720941,True,"{""GW200219_094415"": 0.017700093431796324, ""GW200220_061928"": 0.05054407505337466, ""GW200308_173609"": 0.05356408287720941}"
B,15.0,20000,0.10459400682617398,0.12453981677862688,False,"{""GW200219_094415"": 0.04318319276805755, ""GW200220_061928"": 0.10459400682617398, ""GW200308_173609"": 0.12453981677862688}"
B,20.0,20000,0.17809502755990433,0.20401935972858465,False,"{""GW200219_094415"": 0.07341142774470508, ""GW200220_061928"": 0.17809502755990433, ""GW200308_173609"": 0.20401935972858465}"
B,30.0,20000,0.32608702067253215,0.37124831117426393,False,"{""GW200219_094415"": 0.15485406148228376, ""GW200220_061928"": 0.32608702067253215, ""GW200308_173609"": 0.37124831117426393}"
B,45.0,20000,0.5487967827274955,0.594140937445558,False,"{""GW200219_094415"": 0.27042696009813005, ""GW200220_061928"": 0.5487967827274955, ""GW200308_173609"": 0.594140937445558}"
B,60.0,20000,0.7320987654298488,0.7595046645445291,False,"{""GW200219_094415"": 0.40083801326564905, ""GW200220_061928"": 0.7320987654298488, ""GW200308_173609"": 0.7595046645445291}"
C,1.0,20000,0.00035170938791106277,0.001211585836212288,True,"{""GW200219_094415"": 0.001211585836212288, ""GW200220_061928"": 0.00035170938791106277, ""GW200308_173609"": 0.0}"
C,2.0,20000,0.00248817022123291,0.00294362311541281,True,"{""GW200219_094415"": 0.002216169072756459, ""GW200220_061928"": 0.00248817022123291, ""GW200308_173609"": 0.00294362311541281}"
C,3.0,20000,0.003874140542515511,0.007301122471647087,True,"{""GW200219_094415"": 0.002672759727415378, ""GW200220_061928"": 0.007301122471647087, ""GW200308_173609"": 0.003874140542515511}"
C,5.0,20000,0.012234974732496113,0.022593504491584693,True,"{""GW200219_094415"": 0.006116509932668806, ""GW200220_061928"": 0.022593504491584693, ""GW200308_173609"": 0.012234974732496113}"
C,10.0,20000,0.07263216703785266,0.08374702469601694,True,"{""GW200219_094415"": 0.018219226972599166, ""GW200220_061928"": 0.08374702469601694, ""GW200308_173609"": 0.07263216703785266}"
C,15.0,20000,0.17553917618557258,0.17692501445787287,False,"{""GW200219_094415"": 0.0441978282171887, ""GW200220_061928"": 0.17692501445787287, ""GW200308_173609"": 0.17553917618557258}"
C,20.0,20000,0.28510746199443293,0.2918800126680518,False,"{""GW200219_094415"": 0.0751355352592987, ""GW200220_061928"": 0.2918800126680518, ""GW200308_173609"": 0.28510746199443293}"
C,30.0,20000,0.49552402710605925,0.4991600149539728,False,"{""GW200219_094415"": 0.1570308604549276, ""GW200220_061928"": 0.49552402710605925, ""GW200308_173609"": 0.4991600149539728}"
C,45.0,20000,0.7255475110147103,0.7459877592521215,False,"{""GW200219_094415"": 0.2734668473742888, ""GW200220_061928"": 0.7459877592521215, ""GW200308_173609"": 0.7255475110147103}"
C,60.0,20000,0.8694367203747121,0.9057174233345299,False,"{""GW200219_094415"": 0.40396594451620527, ""GW200220_061928"": 0.9057174233345299, ""GW200308_173609"": 0.8694367203747121}"
